DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
11X288,Columbus Institute for Math and Science ,Medio,432,464,424
11X290,BRONX ACAD OF HEALTH CAREERS ,Medio,369,363,380
11X299,ASTOR COLLEGIATE ACADEMY ,Medio,404,400,388
11X415,Christopher Columbus High School ,Alto,354,373,350
11X418,Bronx High School for the Visual Arts ,Medio,419,403,392
11X425,EVANDER CHILDS HIGH SCHOOL ,Bajo,344,306,350
11X455,HARRY S TRUMAN HIGH SCHOOL ,Alto,380,384,379
11X456,YABC AT HARRY S. TRUMAN HIGH SCHOOL ,Bajo,,,
11X513,NEW WORLD HIGH SCHOOL ,Medio,331,384,341
11X514,Bronxwood Peparatory Academy ,Bajo,359,389,350
11X541,GLOBAL ENTERPRISE HIGH SCHOOL ,Medio,372,359,373
11X542,PELHAM PREPARATORY ACADEMY ,Medio,427,416,424
11X544,High School for the Contemporary Arts ,Medio,359,340,338
11X545,BRONX AEROSPACE HIGH SCHOOL ,Medio,393,395,389
12X245,NEW DAY ACADEMY ,Bajo,368,349,358
12X248,METROPOLITAN HIGH SCHOOL ,Medio,340,361,335
12X251,EXPLORATIONS ACADEMY ,Medio,364,364,344
12X262,Bronx High School Performance & Stage ,Medio,383,360,387
12X267,Bronx Latin School ,Bajo,,,
12X271,EAST BRONX ACADEMY FOR THE FUTURE ,Bajo,415,390,397
12X278,PEACE & DIVERSITY ACAD HIGH SCHOOL ,Bajo,408,400,401
12X400,Morris High School ,Bajo,369,374,360
12X428,YABC at Monroe Academy ,Bajo,386,345,388
12X446,Schomburg Satellite Academy ,Bajo,354,366,364
12X480,BRONX REGIONAL HIGH SCHOOL ,Bajo,359,366,359
12X550,HIGH SCHOOL OF WORLD CULTURES ,Medio,291,333,291
12X680,Bronx Coalition Community High School ,Medio,372,366,360
12X682,Fannie Lou Hamer Freedom High School ,Medio,333,326,330
12X684,WINGS ACADEMY ,Medio,386,397,383
12X690,MONROE CAMPUS ,Medio,355,369,366
12X692,MONROE ACAD VISUAL ARTS DESGN ,Medio,346,341,356
13K265,Dr Susan S McKinney Secondary School of the Arts ,Medio,387,369,369
13K336,Urban Assembly Academy of Business & Community D ,Bajo,,,
13K350,Urban Assembly School of Music and Art ,Medio,394,371,371
13K412,BROOKLYN COMMUNITY HIGH SCHOOL ,Medio,393,356,377
13K419,Science Skills Center High School ,Alto,419,421,409
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,Alto,588,652,581
13K483,Urban Assembly School of Law and Justice ,Alto,414,415,412
13K499,Acorn Association of Community Organization Return ,Alto,367,361,360
13K509,FREEDOM ACADEMY ,Medio,416,386,408
13K553,BROOKLYN ACADEMY HIGH SCHOOL ,Bajo,403,384,377
13K575,Bedford Stuyvesant Street Academy High School ,Bajo,366,380,362
13K595,BEDFORD ACADEMY HIGH SCHOOL ,Medio,453,469,441
13K605,George Westinghouse Vocational Technical HS ,Medio,390,360,373
13K616,Brooklyn High Sch for Leadership Community Svc ,Bajo,323,281,310
13K670,BENJAMIN BANNEKER ACADEMY ,Alto,476,477,445
14K071,JHS 071 JUAN MOREL CAMPOS ,Medio,362,369,349
14K322,FOUNDATIONS ACADEMY ,Bajo,373,377,359
14K404,ACADEMY FOR YOUNG WRITERS ,Medio,377,366,365
14K449,BROOKLYN LATIN SCHOOL ,Medio,536,534,527
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMEN ,Medio,381,381,366
14K474,Progress High School For Professional Careers ,Alto,365,375,373
14K477,School for Legal Studies ,Medio,385,390,384
14K478,"Enterprise, Business and Technology High School ",Medio,360,390,354
14K488,BROOKLYN PREP HIGH SCHOOL ,Medio,397,377,387
14K558,Williamsburg High School for Architecture & Design ,Medio,399,393,367
14K561,WILLIAMSBURG PREP ,Medio,375,386,369
14K586,LYONS COMMUNITY SCHOOL ,Bajo,,,
14K610,AUTOMOTIVE HIGH SCHOOL ,Medio,353,359,340
14K632,The Frances Perkins Academy ,Bajo,,,
14K640,HARRY VAN ARSDALE HIGH SCHOOL ,Bajo,,,
14K685,El Puente Academy for Peace and Justice ,Bajo,375,386,394
14K923,YABC at Automative High School ,Bajo,,,
15K429,BROOKLYN SCHOOL GLOBAL STUDIES ,Medio,374,365,374
15K448,Brooklyn Secondary Sch for Collaborative Studies ,Medio,385,380,375
15K462,"Secondary School for Law, Journalism and Research ",Medio,406,409,393
15K463,SECONDARY SCHOOL JOURNALISM ,Medio,393,372,370
15K464,SECONDARY SCHOOL FOR RESEARCH ,Medio,373,395,368
15K497,SCHOOL INTERNATIONAL STUDIES ,Medio,402,414,382
15K519,COBBE HILL SCHOOL AMERICAN STD ,Medio,365,358,360
15K520,PACIFIC HIGH SCHOOL ,Bajo,356,352,343
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL ,Bajo,363,382,381
15K530,METROPOLITAN CORPORATE ACADEMY ,Bajo,370,348,348
15K656,Brooklyn High School of the Arts ,Medio,416,417,425
